"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bosnia and Herzegovina","BIH","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22100","22050","21903.3","21804.95","21706.6","21608.25","21509.9","21411.55","21313.2","21214.85","21116.5","21107.51","21098.52","21089.53","21080.54","21071.55","21062.56","21053.57","21044.58","21035.59","21026.6","21142.28","21257.96","21373.64","21489.32","21605","21765.1","21879.1","21879.1","21879.1","21879.1",
"Belarus","BLR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77800","78786","78786","79279","79772","80265","80758","81251","81744","82237","82730","83087","83444","83801","84158","84515","84872","85229","85586","85943","86300","86307","86314","86321","86328","86335","87096","87241","87386","87531","87676",
"Belize","BLZ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000.3","15859.57","15718.84","15578.11","15437.38","15296.65","15155.92","15015.19","14874.46","14733.73","14593","14525.09","14457.18","14389.27","14321.36","14253.45","14185.54","14117.63","14049.72","13981.81","13913.9","13796.78","13679.66","13562.54","13445.42","13328.3","13216.8","13105.2","12993.7","12882.1","12770.5",
"Bermuda","BMU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",
"Bolivia","BOL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578047.2","575343.87","572640.54","569937.21","567233.88","564530.55","561827.22","559123.89","556420.56","553717.23","551013.9","548998.52","546983.14","544967.76","542952.38","540937","538921.62","536906.24","534890.86","532875.48","530860.1","528742.52","526624.94","524507.36","522389.78","520272.2","517506.8","514922.2","512532.4","510337.6","508337.6",
"Brazil","BRA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5888980","5851170.6","5813361.2","5775551.8","5737742.4","5699933","5662123.6","5624314.2","5586504.8","5548695.4","5510886","5471378.1","5431870.2","5392362.3","5352854.4","5313346.5","5273838.6","5234330.7","5194822.8","5155314.9","5115807","5100415.2","5085023.4","5069631.6","5054239.8","5038848","5020821","5000916","4990514","4977985","4966196",
"Barbados","BRB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63",
"Brunei Darussalam","BRN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4130","4114","4098","4082","4066","4050","4034","4018","4002","3986","3970","3953","3936","3919","3902","3885","3868","3851","3834","3817","3800","3800","3800","3800","3800","3800","3800","3800","3800","3800","3800",
"Bhutan","BTN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25067.2","25166.48","25265.76","25365.04","25464.32","25563.6","25662.88","25762.16","25861.44","25960.72","26060","26159.29","26258.58","26357.87","26457.16","26556.45","26655.74","26755.03","26854.32","26953.61","27052.9","27072.68","27092.46","27112.24","27132.02","27151.8","27171.6","27191.4","27211.2","27231","27250.8",
"Botswana","BWA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188037","186854","185671","184488","183305","182122","180939","179756","178573","177390","176207","175024","173841","172658","171475","170292","169109","167926","166743","165560","164377","163194","162011","160828","159645","158462","157279","156096","154913","153730","152547",
"Central African Republic","CAF","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232030","231730","231430","231130","230830","230530","230230","229930","229630","229330","229030","228730","228430","228130","227830","227530","227230","226930","226630","226330","226030","225730","225430","225130","224830","224530","224230","223930","223630","223330","223030",
"Canada","CAN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3482729.3","3482258.34","3481787.38","3481316.42","3480845.46","3480374.5","3479903.54","3479432.58","3478961.62","3478490.66","3478019.7","3477539.94","3477060.18","3476580.42","3476100.66","3475620.9","3475141.14","3474661.38","3474181.62","3473701.86","3473222.1","3472809.1","3472396.1","3471983.1","3471570.1","3471157.1","3470760.4","3470390.5","3470020.7","3469650.8","3469281",
